﻿question,flat_rag_answer,graph_rag_answer,note
Công ty Apple có trụ sở ở đâu?,"Ngữ cảnh không cung cấp thông tin về công ty Apple, vì vậy tôi không thể trả lời câu hỏi này dựa vào ngữ cảnh. Tuy nhiên, theo kiến thức của tôi, công ty Apple có trụ sở tại Cupertino, California, Hoa Kỳ.",Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG trả lời dựa trên tri thức nội tại của LLM (ảo giác do ngữ cảnh thực tế không có). GraphRAG phản hồi an toàn là không tìm thấy thực thể trong đồ thị.
Ai là CEO của Google?,"Ngữ cảnh bạn cung cấp không chứa thông tin về CEO của Google. Tuy nhiên, theo kiến thức của tôi, CEO của Google là Sundar Pichai. Ông đã giữ vị trí này từ năm 2015.",Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG tự bổ sung kiến thức ngoài để trả lời. GraphRAG xử lý chuẩn xác bằng cách từ chối trả lời vì thực thể không tồn tại trong KG.
Bill Gates là người sáng lập công ty nào?,"Ngữ cảnh bạn cung cấp không chứa thông tin về Bill Gates hoặc công ty mà ông sáng lập. Tuy nhiên, theo kiến thức của tôi, Bill Gates là người sáng lập Microsoft. Nếu bạn cần thêm thông tin về Microsoft hoặc Bill Gates, hãy cho tôi biết!",Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG bị lọt thông tin ngoài ngữ cảnh. GraphRAG hoạt động đúng nguyên lý RAG nghiêm ngặt: không có thực thể -> báo không tìm thấy.
Hệ điều hành Windows do ai phát triển?,Hệ điều hành Windows được phát triển bởi Microsoft.,Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG trả lời đúng nhờ kiến thức nền của LLM nhưng vi phạm nguyên tắc chỉ dựa trên ngữ cảnh. GraphRAG giữ tính toàn vẹn thông tin nguồn.
iPhone là sản phẩm của công ty nào?,iPhone là sản phẩm của công ty Apple Inc.,Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,"Flat RAG sử thức huấn luyện để điền câu trả lời. GraphRAG báo lỗi không tìm thấy thực thể khớp trong đồ thị, đảm bảo an toàn."
CEO hiện tại của Microsoft là ai?,"Ngữ cảnh bạn cung cấp không chứa thông tin về CEO của Microsoft. Tuy nhiên, theo kiến thức của tôi, CEO hiện tại của Microsoft là Satya Nadella, người đã đảm nhận vị trí này từ tháng 2 năm 2014.",Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG tự ý suy diễn từ dữ liệu huấn luyện. GraphRAG báo không tìm thấy thực thể do Microsoft không nằm trong cơ sở dữ liệu đồ thị tri thức.
Alphabet Inc. sở hữu công ty nào?,"Ngữ cảnh mà bạn cung cấp không chứa thông tin về Alphabet Inc. và các công ty mà họ sở hữu. Tuy nhiên, dựa vào kiến thức của tôi, Alphabet Inc. là công ty mẹ của Google và một số công ty khác như YouTube, Waymo (công ty phát triển công nghệ xe tự lái), và Verily (công ty chuyên về khoa học đời sống). Nếu bạn cần thông tin cụ thể hơn về các công ty thuộc sở hữu của Alphabet Inc., hãy cho tôi biết!","Ngữ cảnh từ đồ thị tri thức không cung cấp thông tin về Alphabet Inc. và các công ty mà họ sở hữu. Tuy nhiên, dựa vào kiến thức của tôi, Alphabet Inc. sở hữu nhiều công ty, trong đó nổi bật nhất là Google. Ngoài ra, họ cũng sở hữu các công ty con khác như YouTube, Waymo, và Verily.",Cả hai đều sử dụng kiến thức bên ngoài vì ngữ cảnh trống. GraphRAG bị khớp thực thể không mong muốn (substring match từ 'Inc.') dẫn đến sinh câu trả lời tự do.
Google có trụ sở tại thành phố nào?,"Ngữ cảnh bạn cung cấp không chứa thông tin về địa điểm trụ sở của Google. Tuy nhiên, dựa vào kiến thức của tôi, Google có trụ sở chính tại Mountain View, California, Hoa Kỳ.",Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG sử dụng kiến thức nền. GraphRAG hoạt động an toàn và chính xác khi từ chối trả lời vì không có thực thể Google trong cơ sở dữ liệu.
Tim Cook làm việc ở vị trí nào tại Apple?,"Tim Cook hiện đang giữ vị trí Giám đốc điều hành (CEO) tại Apple. Ông đã đảm nhận vị trí này từ tháng 8 năm 2011, sau khi người sáng lập Steve Jobs từ chức.",Không tìm thấy entity nào trong Knowledge Graph khớp với câu hỏi.,Flat RAG bổ sung tri thức huấn luyện. GraphRAG trả về thông báo lỗi khớp thực thể an toàn.
Microsoft có phát triển hệ điều hành Mac không?,"Dựa vào ngữ cảnh được cung cấp, không có thông tin nào liên quan đến việc Microsoft phát triển hệ điều hành cho Mac. Tuy nhiên, theo kiến thức của tôi, Microsoft không phát triển hệ điều hành Mac. Hệ điều hành Mac được phát triển bởi Apple, trong khi Microsoft phát triển hệ điều hành Windows.","Ngữ cảnh đồ thị tri thức mà bạn cung cấp không chứa thông tin liên quan đến Microsoft hoặc hệ điều hành Mac. Tuy nhiên, dựa vào kiến thức của tôi, Microsoft không phát triển hệ điều hành Mac. Hệ điều hành Mac được phát triển bởi Apple Inc. Microsoft phát triển hệ điều hành Windows.",Cả hai mô hình đều phát hiện thiếu thông tin ngữ cảnh và bổ sung bằng kiến thức nền. GraphRAG bị kích hoạt suy diễn tự do do khớp chuỗi thực thể.
